vireos
sooty tern
white-bellied sea-eagle
magnolia warbler
crested caracara
common goldeneye
scaled quail
black-bellied whistling-duck
blackpoll warbler
yellow warbler
yellow-bellied flycatcher
american tree sparrow
red avadavat
swamp sparrow
white-rumped sandpiper
eastern phoebe
lesser black-backed gull
marsh wren
clark's grebe
royal tern
orchard oriole
mountain chickadee
unknown bird or bat
black turnstone
western screech-owl
chestnut-collared longspur
american redstart
cinnamon teal
ruby-throated hummingbird
ruby-crowned kinglet
golden-crowned kinglet
yellow-legged gull
black-throated blue warbler
evening grosbeak
northern house wren
gray-headed chickadee
marbled godwit
nightjars
prothonotary warbler
say's phoebe
bohemian waxwing
curve-billed thrasher
whooping crane
lesser goldfinch
ruffed grouse
red-necked phalarope
cactus wren
harris's sparrow
red-throated loon
parasitic jaeger
bullock's oriole
black-legged kittiwake
blue-gray gnatcatcher
hummingbirds
cormorants
red-legged kittiwake
black-headed gull
macgillivray's warbler
glaucous gull
thick-billed longspur
common wood-pigeon
red-legged partridge
gray heron
western tanager
golden-crowned sparrow
orange-crowned warbler
mountain bluebird
least flycatcher
yellow-throated warbler
greater yellowlegs
rusty blackbird
cuckoos
tricolored heron
white-tailed hawk
band-tailed pigeon
greater roadrunner
hammond's flycatcher
california towhee
wilson's phalarope
mourning warbler
"waxbills, mannikins, parrotfinches"
american goshawk
tropical mockingbird
black-throated gray warbler
bonin petrel
"plovers, lapwings"
black-throated sparrow
cave swallow
mississippi kite
winter wren
gull-billed tern
black-chinned hummingbird
carolina chickadee
redwing
island canary
common swift
eurasian curlew
black-throated green warbler
little tern
harlequin duck
sprague's pipit
indian silverbill
rock sandpiper
piping plover
black-headed grosbeak
western flycatcher
hermit warbler
roseate spoonbill
wilson's plover
black swift
white-breasted nuthatch
loons
veery
tennessee warbler
gyrfalcon
chestnut-sided warbler
downy woodpecker
nelson's sparrow
northern hawk owl
mckay's bunting
smith's longspur
allen's hummingbird
tricolored blackbird
gray flycatcher
black drongo
sharp-tailed grouse
long-tailed jaeger
blackburnian warbler
hudsonian godwit
calliope hummingbird
least bittern
canada jay
eurasian collared dove
brewer's sparrow
bushtit
sandwich tern
painted bunting
bewick's wren
white-eyed vireo
black tern
white-crested elaenia
cassin's finch
pine grosbeak
barrow's goldeneye
rook
little owl
leconte's sparrow
great gray owl
cassin's sparrow
swallow-tailed kite
red crossbill
medium egret
willow flycatcher
alder flycatcher
brandt's cormorant
sedge wren
common pauraque
philadelphia vireo
cape may warbler
black-faced bunting
blue-headed vireo
eurasian coot
connecticut warbler
great crested grebe
red phalarope
"crows, ravens"
"blackbirds, meadowlarks, orioles"
gray-crowned rosy-finch
band-rumped storm-petrel
prairie warbler
rufous hummingbird
black-billed cuckoo
kentucky warbler
hawaiian hawk
blue grosbeak
zenaida dove
ruddy ground dove
sage thrasher
hooded oriole
hooded warbler
clay-colored sparrow
summer tanager
surf scoter
common chaffinch
song thrush
spruce grouse
red-breasted sapsucker
south american snipe
bar-tailed godwit
white-winged scoter
northern fulmar
"herons, egrets, bitterns"
eurasian buzzard
long-billed thrasher
spotted towhee
dusky flycatcher
shearwaters
red-headed woodpecker
stilt sandpiper
baird's sparrow
bay-breasted warbler
worm-eating warbler
shorebirds
white-winged tern
hawaiian goose
northern shrike
pigeon guillemot
redpoll
meadow pipit
great kiskadee
picazuro pigeon
yellow-headed caracara
blue-winged warbler
antillean nighthawk
gray kingbird
yellow rail
"quails, pheasants"
gambel's quail
vega gull
spotted flycatcher
couch's kingbird
fish crow
"falcons, kestrels, falconets"
louisiana waterthrush
egyptian goose
red-breasted nuthatch
hume's short-toed lark
garden warbler
purple sandpiper
morelet's seedeater
larks
saffron finch
"swift, tree-swifts, hummingbirds"
storm-petrels
common murre
pacific wren
bicknell's thrush
surfbird
olive sparrow
blue-and-white swallow
philippine collared dove
gray-breasted martin
broad-tailed hummingbird
purple heron
wood sandpiper
olive-sided flycatcher
limpkin
red-footed booby
nacunda nighthawk
red-wattled lapwing
golden-winged warbler
bell's vireo
black phoebe
ladder-backed woodpecker
tropical kingbird
pallid swift
loggerhead kingbird
african silverbill
townsend's solitaire
lilac-crowned parrot
black noddy
brown noddy
white-headed gull complex
red-masked parakeet
noddies
elegant tern
lawrence's warbler
red-necked stint
kentish plover
white-tufted grebe
alpine swift
tree pipit
white-crowned pigeon
yellow-browed warbler
lawrence's goldfinch
oriental plover
pearly-eyed thrasher
cerulean warbler
hawaiian petrel
brown-crested flycatcher
cranes
reddish egret
kirtland's warbler
wedge-tailed eagle
pacific loon
king rail
grouse
black redstart
double-striped thick-knee
eared dove
olive-backed pipit
"kites, eagles, hawks"
"gulls, terns, kittiwakes"
rufous-tailed robin
"longspurs, snow buntings"
golden-fronted woodpecker
eurasian siskin
brown-throated parakeet
white-/golden-crown sparrow complex
scaly-naped pigeon
black-headed gull complex
greater antillean grackle
yellow-fronted canary
java sparrow
greater spotted eagle
swainson's warbler
common ringed plover
western house-martin
siberian sand-plover 
eurasian moorhen
flammulated owl
horned puffin
brown booby
antillean palm swift
ross's goose
little swift
neotropic cormorant
black-crowned sparrow lark
european goldfinch
partridges
virginia's warbler
mallard/american black duck complex
mallard/mottled duck complex
diving duck (aythya)
spur-winged lapwing
african collared dove
costa's hummingbird
dark-billed cuckoo
sagebrush sparrow
spotted thick-knee
brown creeper
rose-ringed parakeet
blue-black grassquit
speckled pigeon
gray vireo
western/clark's grebe complex
alder/willow flycatcher complex
mynas
kites
western marsh harrier
greenish warbler
australian pelican
snow goose/ross's goose complex
california quail
marbled murrelet
seaside sparrow
lanceolated warbler
pheasants
olivaceous elaenia
corn crake
northern gannet
lesser whitethroat
short-tailed hawk
blue-tailed bee-eater
tufted titmouse
common gull
oriental turtle dove
white-winged swallow
trumpeter swan
lappet-faced vulture
yellow-chevroned parakeet
chihuahuan meadowlark
rainbow lorikeet
"goatsuckers, nightjars, frogmouths"
kittiwakes
caribbean martin
pygmy nuthatch
parakeets
mitred parakeet
magpies
greater prairie chicken
thrashers
sharp-tailed sandpiper
roseate tern
typical owls
thick-billed kingbird
red-crowned amazon
gray-tailed tattler
bare-eyed pigeon
olive-throated parakeet
european robin
frigatebirds
mariana kingfisher
pin-tailed snipe
western barn owl
clark's nutcracker
eastern cattle egret
eastern barn owl
"cuckoos, roadrunners"
"caracaras, forest falcons"
bronze mannikin
mugimaki flycatcher
sabine's gull
towhees
common snipe
whiskered tern
pileated woodpecker
turkeys
